title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"ChatTS: Aligning Time Series with LLMs via Synthetic Data for Enhanced Understanding and Reasoning",2025,PVLDB,https://www.vldb.org/pvldb/vol18/p2385-xie.pdf,method + benchmark,4,4,4,A/Risk,"Target baseline; fixed patches and five-layer MLP","Direct source for the architectural gap"
"ModernTCN: A Modern Pure Convolution Structure for General Time Series Analysis",2024,ICLR Spotlight,https://proceedings.iclr.cc/paper_files/paper/2024/hash/86b1437c1e4c3b3c4debff98234a67e7-Abstract-Conference.html,pure method,4,4,4,A,"Best low-complexity token-preserving adaptation","Strong multi-task time-series evidence"
"InceptionTime: Finding AlexNet for Time Series Classification",2020,Data Mining and Knowledge Discovery,https://arxiv.org/abs/1909.04939,pure method,4,5,5,A,"Multi-scale Conv1d candidate","Mature time-series classification evidence"
"An Exploratory Study to Repurpose LLMs to a Unified Architecture for Time Series Classification",2026,arXiv,https://arxiv.org/abs/2601.09971,other,4,3,3,B/Risk,"Direct encoder plus frozen LLM comparison","Preprint and classification-only evidence"
"Unlocking the Power of LSTM for Long Term Time Series Forecasting",2025,AAAI,https://ojs.aaai.org/index.php/AAAI/article/view/33303,pure method,4,4,4,A,"Patch-level recurrent candidate","Formal recent paper with clear temporal state"
"Bi-Mamba+: Bidirectional Mamba for Time Series Forecasting",2024,arXiv v3,https://arxiv.org/abs/2404.15772,pure method,4,3,4,Risk,"Bidirectional temporal patch scan","Preprint and custom-kernel dependency"
"A Time Series is Worth 64 Words: Long-term Forecasting with Transformers",2023,ICLR,https://arxiv.org/abs/2211.14730,pure method,4,5,5,A,"Required global-attention control","Very close patch interface"
"TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis",2025,ICLR,https://proceedings.iclr.cc/paper_files/paper/2025/hash/2b187165e28fdfdc0ffb34d1bfff2b0c-Abstract-Conference.html,pure method,5,4,5,A,"Capability boundary","Too complex for architecture-only replacement"
"ITFormer: Bridging Time Series and Natural Language for Multi-Modal QA with Large-Scale Multitask Dataset",2025,ICML,https://proceedings.mlr.press/v267/wang25av.html,method + benchmark,5,5,4,A/Risk,"Closest Time-Series QA work","Changes cross-modal bridge rather than only encoder"
"OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data",2025,arXiv,https://arxiv.org/abs/2510.02410,method + benchmark,5,4,3,B/Risk,"Related multimodal reasoning system","Heavier medical system route"
"TsLLM: Augmenting LLMs for General Time Series Understanding and Prediction",2025,arXiv,https://arxiv.org/abs/2510.01111,pure method,4,4,3,B,"Related general TS-LLM","Training and interface changes are substantial"
"Chronicle: A Multimodal Foundation Model for Joint Language and Time Series Understanding",2026,arXiv,https://arxiv.org/abs/2605.20268,pure method,5,4,4,Risk,"2026 joint-pretraining trend","Not a drop-in encoder"
"Empowering Time Series Analysis with Large-Scale Multimodal Pretraining",2026,arXiv,https://arxiv.org/abs/2602.05646,method + benchmark,5,4,4,Risk,"2026 multimodal pretraining trend","Far beyond architecture-only scope"
"LightGTS: A Lightweight General Time Series Forecasting Model",2025,ICML,https://proceedings.mlr.press/v267/wang25ch.html,pure method,4,4,4,B,"Lightweight background","Tokenizer and decoder change token count"
"TimeBase: The Power of Minimalism in Efficient Long-term Time Series Forecasting",2025,ICML,https://proceedings.mlr.press/v267/huang25az.html,pure method,4,4,4,B,"Minimalist background","Output paradigm does not preserve patch tokens"
"iTransformer: Inverted Transformers Are Effective for Time Series Forecasting",2024,ICLR Spotlight,https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html,pure method,4,5,5,A,"Axis-mismatch reference","Tokens are variables rather than temporal patches"
"Pathformer: Multi-scale Transformers with Adaptive Pathways for Time Series Forecasting",2024,ICLR,https://proceedings.iclr.cc/paper_files/paper/2024/hash/2be6705de7412adf107900add727a795-Abstract-Conference.html,pure method,4,4,4,A,"Complex multi-scale reference","Too many mechanisms for this scope"
"MOMENT: A Family of Open Time-series Foundation Models",2024,ICML,https://proceedings.mlr.press/v235/goswami24a.html,method + benchmark,4,5,5,A,"Foundation-model reference","Requires pretraining route"
"Moirai: Unified Training of Universal Time Series Forecasting Transformers",2024,ICML,https://proceedings.mlr.press/v235/woo24a.html,pure method,4,5,5,A,"Foundation-model reference","Forecasting tokenizer and training mismatch"
"TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis",2023,ICLR,https://openreview.net/forum?id=ju_Uqw384Oq,pure method,5,5,5,A,"General time-series reference","2D transformation is not a simple drop-in"
"DualMamba: a patch-based model with dual mamba for long-term time series forecasting",2026,Frontiers of Computer Science,https://journal.hep.com.cn/fcs/EN/10.1007/s11704-025-41293-5,pure method,4,3,4,B,"Patch plus dual-Mamba watch item","Still requires larger implementation changes"
"Beyond Prompting: Time2Lang - Bridging Time-Series Foundation Models and Large Language Models for Health Sensing",2025,CHIL,https://proceedings.mlr.press/v287/pillai25a.html,pure method,4,4,3,B,"TFM-to-LLM bridge evidence","Health classification and pretrained-TFM dependency"
