"title","year","venue","status","paper_url","code_url","relevance_1to5","recency_novelty_1to5","dropin_fit_1to5","decision","rationale"
"ChatTS: Aligning Time Series with LLMs via Synthetic Data for Enhanced Understanding and Reasoning","2025","PVLDB 18(8)","formal","https://www.vldb.org/pvldb/vol18/p2385-xie.pdf","https://github.com/NetManAIOps/ChatTS","5","5","5","include-baseline","目标系统；固定 patch + 5-layer MLP。当前官方 ChatTS-8B 配置为 patch=8、position embedding 开启、hidden=4096。"
"ModernTCN: A Modern Pure Convolution Structure for General Time Series Analysis","2024","ICLR Spotlight","formal","https://proceedings.iclr.cc/paper_files/paper/2024/hash/86b1437c1e4c3b3c4debff98234a67e7-Abstract-Conference.html","https://github.com/luodhhh/ModernTCN","5","4","5","shortlist","大核 depthwise Conv1d；单尺度裁剪可保持 patch token 数，纯 PyTorch 友好。"
"Unlocking the Power of LSTM for Long Term Time Series Forecasting","2025","AAAI","formal","https://ojs.aaai.org/index.php/AAAI/article/view/33303","https://github.com/Eleanorkong/P-sLSTM","5","4","4","shortlist","P-sLSTM 明确在 patch 轴递归；输出状态可直接对齐 LLM。"
"Bi-Mamba+: Bidirectional Mamba for Time Series Forecasting","2024","arXiv v3","preprint","https://arxiv.org/abs/2404.15772","https://github.com/Leopold2333/Bi-Mamba4TS","5","4","4","shortlist-risk","channel-independent 路径沿 temporal patches 双向扫描；状态与自定义 CUDA 依赖需披露。"
"A Time Series is Worth 64 Words: Long-term Forecasting with Transformers","2023","ICLR","formal","https://iclr.cc/virtual/2023/poster/10876","https://github.com/yuqinie98/PatchTST","5","3","5","include-control","固定 patch + 全局 self-attention；接口贴合，适合强对照但新颖性不足。"
"TimeMixer++: A General Time Series Pattern Machine for Universal Predictive Analysis","2025","ICLR","formal","https://proceedings.iclr.cc/paper_files/paper/2025/hash/2b187165e28fdfdc0ffb34d1bfff2b0c-Abstract-Conference.html","https://github.com/kwuking/TimeMixer","4","5","2","boundary","多尺度时频系统，能力证据强，但不是简单 encoder block 替换。"
"ITFormer: Bridging Time Series and Natural Language for Multi-Modal QA with Large-Scale Multitask Dataset","2025","ICML","formal","https://proceedings.mlr.press/v267/wang25av.html","https://pandalin98.github.io/itformer_site/","5","5","2","boundary-nearest","直接 TS-QA 最近邻；核心是 query-conditioned cross-modal fusion，不是纯 encoder swap。"
"OpenTSLM: Time-Series Language Models for Reasoning over Multivariate Medical Text- and Time-Series Data","2025/2026","arXiv v3","preprint","https://arxiv.org/abs/2510.02410","https://www.opentslm.com/","5","5","2","related","SoftPrompt 与 Flamingo 两种融合；改动 LLM cross-attention，超出本轮边界。"
"TsLLM: Augmenting LLMs for General Time Series Understanding and Prediction","2025/2026","arXiv v2","preprint","https://arxiv.org/abs/2510.01111","","4","4","2","related","仍以 per-patch MLP 为基础并加入 VAE/scale/cross-attention adapter，训练复杂。"
"DualMamba: a patch-based model with dual mamba for long-term time series forecasting","2026","Frontiers of Computer Science 20(2)","formal","https://journal.hep.com.cn/fcs/EN/10.1007/s11704-025-41293-5","","4","4","3","watch","局部 patch 内与全局 patch 间双 Mamba；正式但双分支与融合比本轮主选更复杂。"
"LightGTS: A Lightweight General Time Series Forecasting Model","2025","ICML","formal","https://proceedings.mlr.press/v267/wang25ch.html","https://github.com/decisionintelligence/LightGTS","3","4","2","exclude-current","核心是周期 tokenizer + decoder；token 数随周期变化，不能保留当前 patch_cnt。"
"TimeBase: The Power of Minimalism in Efficient Long-term Time Series Forecasting","2025","ICML","formal","https://proceedings.mlr.press/v267/huang25az.html","https://github.com/hqh0728/TimeBase","3","4","2","exclude-current","basis/segment forecasting 偏任务 head，不是通用 drop-in encoder。"
"S-Mamba: Is Mamba Effective for Time Series Forecasting?","2025","Neurocomputing 619","formal","https://doi.org/10.1016/j.neucom.2024.129178","https://github.com/wzhwzhwzh0921/S-D-Mamba","3","3","1","exclude-axis-mismatch","主要沿变量 token 轴扫描；单变量 ChatTS 场景无法直接建模时间 patch。"
"ms-Mamba: Multi-Scale Mamba for Time-Series Forecasting","2026","Neurocomputing 680","formal","https://arxiv.org/abs/2504.07654","","3","4","1","exclude-axis-mismatch","多采样率 Mamba 仍基于变量轴 tokenization；分支多且不保留 patch 序列。"
"Affirm: Interactive Mamba with Adaptive Fourier Filters for Long-term Time Series Forecasting","2025","AAAI","formal","https://ojs.aaai.org/index.php/AAAI/article/view/35463","https://github.com/zjuml/Affirm","4","5","1","exclude-complex","FFT 三频域滤波 + dual Mamba + 交叉门控 + 预训练，违背简单替换约束。"
"Pathformer: Multi-scale Transformers with Adaptive Pathways for Time Series Forecasting","2024","ICLR","formal","https://proceedings.iclr.cc/paper_files/paper/2024/hash/2be6705de7412adf107900add727a795-Abstract-Conference.html","","3","4","2","exclude-complex","多尺度 adaptive pathways/MoE，接口与训练均显著复杂。"
"iTransformer: Inverted Transformers Are Effective for Time Series Forecasting","2024","ICLR Spotlight","formal","https://proceedings.iclr.cc/paper_files/paper/2024/hash/2ea18fdc667e0ef2ad82b2b4d65147ad-Abstract-Conference.html","https://github.com/thuml/iTransformer","3","4","1","exclude-axis-mismatch","token 是变量而非时间 patch；目标轴与 ChatTS 当前单序列编码不同。"
"MOMENT: A Family of Open Time-series Foundation Models","2024","ICML","formal","https://proceedings.mlr.press/v235/goswami24a.html","https://github.com/moment-timeseries-foundation-model/moment","4","4","2","related","预训练 foundation model，可做冻结 encoder，但不是轻量架构替换。"
"Moirai: Unified Training of Universal Time Series Forecasting Transformers","2024","ICML","formal","https://proceedings.mlr.press/v235/woo24a.html","https://github.com/SalesforceAIResearch/uni2ts","3","4","1","related","通用预测 foundation model；任务目标、tokenizer 与模型体量超出本轮。"
"TimesNet: Temporal 2D-Variation Modeling for General Time Series Analysis","2023","ICLR","formal","https://openreview.net/forum?id=ju_Uqw384Oq","https://github.com/thuml/TimesNet","3","4","2","related","周期 2D reshape 的通用模型，是 TimeMixer++ 的重要前序但也需改变 token topology。"
